,EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE,CITY,PROVINCE,COUNTRY
0,Incident,Technology,Fire,Non-Residential,Ottawa ON and Hull QC,1900-04-26 0:00,"Ottawa ON and Hull QC, April 26, 1900.  A small chimney fire in Hull quickly spread to neighbouring buildings and then engulfed the Eddy lumberyard.  A strong wind carried the fire to the Ottawa side.  By the time the fire ended, 3000 buildings had been destroyed in the Ottawa-Hull region.",7,0,15000,unknown,unknown,1900-04-26 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,ottawa ,ottawa ,CA
1,Incident,Technology,Explosion,Non-Residential,Grand Forks BC,1901-01-01 0:00,"Grand Forks BC, 1901. An explosion in the Union Mine killed 64 people.",64,0,0,unknown,unknown,1901-01-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,grand forks ,grand forks ,CA
2,Incident,Technology,Infrastructure failure,Manufacturing / Industry,Wellington BC,1901-01-01 0:00,"Wellington BC, 1901. Sixteen people were entombed in the #2 slope of the Wellington Colliery, in the Kooteney region.",16,0,0,unknown,unknown,1901-01-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,clinton ,clinton ,CA
3,Incident,Technology,Explosion,Non-Residential,Cranberry BC,1902-01-01 0:00,"Cranberry BC, 1902. An explosion in the Extension Colliery killed 32 people.",32,0,0,unknown,unknown,1902-01-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,,,OTHER
4,Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,1902-03-01 0:00,"Saint John River Basin NB, March 1902. An unusually early break-up and downstream movement of ice cover on the Saint John River resulted from heavy rains, warm temperatures, and raised water levels. A total of 15 ice jams resulted from the raised water levels, causing extensive damage, including washouts of bridges, roads and railways. The lumber industry was also affected, where damage to mills and loss of stock were reported.",2,0,0,unknown,unknown,1902-03-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,saint john ,saint john ,CA
5,Incident,Technology,Explosion,Non-Residential,Fernie BC,1902-05-22 0:00,"Fernie BC, April 22, 1902.  An explosion in the #2 Mine Coal Creek killed 125 people.",125,0,0,unknown,unknown,1902-05-22 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,fernie ,fernie ,CA
6,Incident,Technology,Explosion,Non-Residential,Grand Forks BC,1903-01-01 0:00,"Grand Forks BC, 1903. An explosion in the Union Mine killed 16 people.",16,0,0,unknown,unknown,1903-01-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,grand forks ,grand forks ,CA
7,Disaster,Natural,Geological,Landslide,Frank AB,1903-04-29 0:00,"Frank AB, April 29, 1903. 70 dead; 60 million tonnes of limestone came crashing down Turtle Mountain on to the small mining town of Frank; the landslide buried part of the town, covering roads, railways and homes; the Old Man River and the CP Rail Tracks were buried under 30 metres of rock.",70,23,0,unknown,unknown,1903-04-29 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,,,OTHER
8,Incident,Technology,Explosion,Non-Residential,Carbonado BC,1904-01-01 0:00,"Carbonado BC, 1904.  An explosion in the Carbonado Colliery killed 14 people.",14,0,0,unknown,unknown,1904-01-01 0:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,cariboo b ,cariboo b ,CA
9,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Edmonton AB,1992-09-01 0:00,"Edmonton AB, September 1, 1992.",0,0,0,22522000.0,1608714.3,1992-09-01 0:00,unknown,unknown,14434443.0,unknown,unknown,8087557.0,unknown,0,0,edmonton ,edmonton ,CA
