,Geographic code,Geographic name,Geographic type,"Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Population, 2006",2006 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2006","Population, % change","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011","Land area in square kilometres, 2011","Population density per square kilometre, 2011","National population rank, 2011","Provincial/territorial population rank, 2011",Province
0,1,canada,,T,33476688.0,31612897.0,F,T,5.9,14569633.0,13320614.0,8965121.425,3.7341,,,
2,1001105,portugal cove south ,T,F,160.0,222.0,F,F,-27.9,90.0,69.0,1.14,140.3509,4136.0,306.0,nl
3,1001113,trepassey ,T,F,570.0,763.0,F,F,-25.3,335.0,258.0,55.8094,10.2133,2833.0,144.0,nl
4,1001120,st. shott's ,T,F,81.0,109.0,F,F,-25.7,44.0,40.0,1.1359,71.3091,4454.0,348.0,nl
6,1001126,cape broyle ,T,F,506.0,545.0,F,F,-7.2,269.0,215.0,10.0474,50.3613,2984.0,165.0,nl
7,1001131,renews-cappahayden ,T,F,310.0,421.0,F,F,-26.4,234.0,144.0,127.8436,2.4248,3601.0,229.0,nl
8,1001136,fermeuse ,T,F,323.0,284.0,F,F,13.7,167.0,134.0,38.7322,8.3393,3548.0,226.0,nl
9,1001140,port kirwan ,T,F,65.0,85.0,F,F,-23.5,55.0,29.0,9.1918,7.0715,4524.0,351.0,nl
10,1001144,aquaforte ,T,F,83.0,103.0,F,F,-19.4,65.0,44.0,6.8158,12.1776,4445.0,346.0,nl
11,1001149,ferryland ,T,F,465.0,529.0,F,F,-12.1,241.0,200.0,13.6204,34.14,3121.0,179.0,nl
13,1001169,st. vincent's-st. stephen's-peter's river ,T,F,340.0,363.0,F,F,-6.3,206.0,152.0,87.5042,3.8855,3492.0,216.0,nl
14,1001174,gaskiers-point la haye ,T,F,233.0,302.0,F,F,-22.8,131.0,108.0,23.8146,9.7839,3875.0,268.0,nl
15,1001178,st. mary's ,T,F,439.0,482.0,F,F,-8.9,212.0,185.0,37.0497,11.8489,3191.0,188.0,nl
16,1001181,riverhead ,T,F,212.0,220.0,F,F,-3.6,110.0,86.0,105.5955,2.0077,3956.0,280.0,nl
17,1001186,admirals beach ,T,F,153.0,185.0,F,F,-17.3,79.0,64.0,24.4244,6.2642,4161.0,308.0,nl
18,1001192,st. joseph's ,T,F,115.0,144.0,F,F,-20.1,101.0,57.0,32.3135,3.5589,4298.0,330.0,nl
19,1001197,mount carmel-mitchells brook-st. catherine's ,T,F,358.0,438.0,F,F,-18.3,287.0,166.0,61.5524,5.8162,3441.0,208.0,nl
21,1001207,colinet ,T,F,110.0,165.0,F,F,-33.3,88.0,48.0,6.2271,17.6647,4326.0,334.0,nl
23,1001219,branch ,T,F,247.0,309.0,F,F,-20.1,168.0,110.0,16.1462,15.2977,3820.0,266.0,nl
24,1001225,point lance ,T,F,120.0,119.0,F,F,0.8,47.0,43.0,29.1368,4.1185,4280.0,325.0,nl
25,1001228,st. bride's ,T,F,308.0,386.0,F,F,-20.2,160.0,134.0,5.8431,52.7117,3605.0,230.0,nl
27,1001240,placentia ,T,F,3643.0,3898.0,F,F,-6.5,1737.0,1548.0,58.0547,62.7512,881.0,19.0,nl
28,1001254,fox harbour ,T,F,270.0,314.0,F,F,-14.0,129.0,114.0,19.7829,13.6482,3741.0,253.0,nl
30,1001263,long harbour-mount arlington heights ,T,F,298.0,211.0,F,F,41.2,266.0,128.0,18.407,16.1895,3648.0,238.0,nl
31,1001267,southern harbour ,T,F,534.0,474.0,F,F,12.7,235.0,208.0,5.4067,98.7663,2909.0,157.0,nl
32,1001270,arnold's cove ,T,F,990.0,1003.0,F,F,-1.3,462.0,400.0,4.9254,200.9989,2086.0,82.0,nl
33,1001274,come by chance ,T,F,247.0,260.0,F,F,-5.0,109.0,97.0,41.163,6.0005,3820.0,266.0,nl
34,1001277,sunnyside ,T,F,452.0,470.0,F,F,-3.8,233.0,182.0,37.9486,11.9108,3153.0,181.0,nl
35,1001281,chance cove ,T,F,282.0,310.0,F,F,-9.0,151.0,125.0,18.1988,15.4955,3712.0,246.0,nl
36,1001285,norman's cove-long cove ,T,F,720.0,773.0,F,F,-6.9,324.0,286.0,19.9798,36.0364,2526.0,111.0,nl
37,1001289,chapel arm ,T,F,468.0,451.0,F,F,3.8,222.0,192.0,28.1715,16.6125,3114.0,178.0,nl
39,1001298,whitbourne ,T,F,916.0,855.0,F,F,7.1,478.0,385.0,21.4076,42.7885,2189.0,90.0,nl
41,1001308,whiteway ,T,F,293.0,220.0,F,F,33.2,123.0,101.0,22.6431,12.9399,3668.0,241.0,nl
42,1001312,heart's delight-islington ,T,F,704.0,663.0,F,F,6.2,394.0,305.0,27.2722,25.8138,2558.0,112.0,nl
43,1001316,heart's desire ,T,F,223.0,226.0,F,F,-1.3,120.0,101.0,17.2659,12.9156,3911.0,274.0,nl
45,1001325,heart's content ,T,F,375.0,418.0,F,F,-10.3,224.0,171.0,62.8109,5.9703,3375.0,205.0,nl
46,1001328,new perlican ,T,F,210.0,188.0,F,F,11.7,158.0,99.0,24.4673,8.5829,3964.0,283.0,nl
47,1001332,winterton ,T,F,484.0,518.0,F,F,-6.6,276.0,207.0,10.5185,46.0142,3057.0,169.0,nl
